node_id,"('tempo_ocioso', 'mean')_origem","('rastros', 'mean')_origem","('etapas', 'mean')_origem","('mov_mouse', 'mean')_origem","('repet_comando', 'mean')_origem","('pulos', 'mean')_origem","('pkts', 'mean')_origem","('pkts', 'sum')_origem"
0,1.015,1.0,7.0,222.0,4.0,1.5,82.0,164.0
1,0.8099999999999999,0.0,3.5,265.0,4.5,0.0,111.5,223.0
2,0.05,1.0,7.0,221.0,3.0,2.0,184.0,184.0
3,1.116,0.4,5.0,273.6,2.6,1.6,115.6,578.0
4,1.29,0.0,4.5,186.5,0.0,0.5,59.0,118.0
5,1.6300000000000001,0.25,5.75,245.0,3.0,1.5,121.25,485.0
6,1.3766666666666667,0.6666666666666666,9.666666666666666,301.3333333333333,1.6666666666666667,1.3333333333333333,75.66666666666667,227.0
7,2.1625,0.0,6.25,145.75,1.25,0.25,110.75,443.0
8,0.605,0.0,4.0,86.5,2.5,1.0,69.0,138.0
9,2.375,0.5,5.5,194.0,2.5,0.5,80.5,161.0
10,1.2300000000000002,0.6666666666666666,6.666666666666667,354.3333333333333,2.3333333333333335,0.6666666666666666,42.333333333333336,127.0
11,0.645,0.0,6.0,252.5,1.5,1.5,148.0,296.0
12,1.325,1.0,7.0,201.0,2.5,1.0,110.5,221.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.02,1.0,7.0,231.0,1.0,0.0,60.0,60.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.5966666666666667,0.3333333333333333,3.0,317.6666666666667,1.6666666666666667,0.3333333333333333,110.33333333333333,331.0
17,0.82,1.0,4.0,477.0,5.0,0.0,189.0,189.0
18,2.33,0.0,4.0,286.0,1.6666666666666667,0.3333333333333333,89.66666666666667,269.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
