node_id,"('tempo_ocioso', 'mean')_origem","('rastros', 'mean')_origem","('etapas', 'mean')_origem","('mov_mouse', 'mean')_origem","('repet_comando', 'mean')_origem","('pulos', 'mean')_origem","('pkts', 'mean')_origem","('pkts', 'sum')_origem"
0,2.35,1.0,3.0,189.0,2.0,0.0,74.0,74.0
1,1.3880000000000001,0.4,5.2,299.6,2.4,0.6,141.4,707.0
2,0.726,0.4,5.8,196.2,3.4,0.4,138.6,693.0
3,1.94,0.5,3.0,375.0,0.5,2.0,67.5,135.0
4,0.6933333333333334,0.0,4.666666666666667,295.0,3.3333333333333335,0.0,113.66666666666667,341.0
5,0.41500000000000004,0.5,6.0,320.5,3.5,1.0,162.5,325.0
6,1.92,0.3333333333333333,6.666666666666667,232.66666666666666,2.3333333333333335,0.3333333333333333,151.33333333333334,454.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4.1,0.0,7.0,221.0,1.5,1.0,148.5,297.0
9,0.28,1.0,10.0,130.0,5.0,0.0,63.0,63.0
10,2.4633333333333334,0.3333333333333333,6.333333333333333,169.33333333333334,3.0,1.3333333333333333,77.0,231.0
11,1.98,1.0,7.0,403.0,2.0,1.0,146.0,146.0
12,1.6433333333333333,0.3333333333333333,5.333333333333333,216.33333333333334,1.0,0.3333333333333333,139.0,417.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3.7,0.0,10.0,479.0,2.0,1.0,59.0,59.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.387142857142857,0.7142857142857143,5.428571428571429,241.14285714285714,3.2857142857142856,1.0,105.57142857142857,739.0
17,1.4849999999999999,0.5,7.0,225.25,3.5,1.5,88.25,353.0
18,0.7399999999999999,0.6666666666666666,6.666666666666667,159.0,3.0,0.6666666666666666,116.66666666666667,350.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
